,flight_date,flight_status,departure_airport,departure_timezone,departure_gate,departure_terminal,arrival_airport,arrival_timezone,arrival_terminal,arrival_gate,airline_name
1769,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,5,4,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,2,,AirAsia
1770,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,1,3,Soekarno-Hatta International,Asia/Jakarta,2,,Batik Air
1771,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,5,4,Penang International,Asia/Kuala_Lumpur,,,AirAsia
1772,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,8,4,Juanda,Asia/Jakarta,2,,Jetstar Asia
1773,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,,4,Da Nang,Asia/Ho_Chi_Minh,2,,VietJet Air
1774,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,,3,Frankfurt International Airport,Europe/Berlin,1,,Singapore Airlines
1775,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,,3,Ngurah Rai International,Asia/Makassar,I,,Garuda Indonesia
1776,2024-09-05,scheduled,Singapore Changi,Asia/Singapore,,3,Melbourne - Tullamarine Airport,Australia/Melbourne,2,20,Singapore Airlines
1777,2024-09-05,scheduled,Kobe,Asia/Tokyo,,,Haneda Airport,Asia/Tokyo,1,,Skymark Airlines
1778,2024-09-05,scheduled,Kobe,Asia/Tokyo,,,Chitose,Asia/Tokyo,D,,Skymark Airlines
1779,2024-09-05,scheduled,Sharjah,Asia/Dubai,1B,,Kannur International Airport,Asia/Kolkata,,,Air India Express
1780,2024-09-05,scheduled,Sharjah,Asia/Dubai,1B,,Kannur International Airport,Asia/Kolkata,,,Air India
1781,2024-09-05,scheduled,Sharjah,Asia/Dubai,28,,Cairo International Airport,Africa/Cairo,1,,FlyEgypt
1782,2024-09-05,scheduled,Sharjah,Asia/Dubai,,,Baghdad International,Asia/Baghdad,,,Air Arabia
